Year,Channel,Shop_Name,Return_Rate_YTD,Net_Sales
2024,天猫旗舰店,MM 天猫旗舰店,46,434633487.91
2025,天猫旗舰店,MM 天猫旗舰店,49,463188665.53
2024,天猫旗舰店,MK 天猫旗舰店,42,29067564.72
2025,天猫旗舰店,MK 天猫旗舰店,46,33564269.64
2024,天猫旗舰店,DV 天猫旗舰店,56,5840473.55
2025,天猫旗舰店,DV 天猫旗舰店,59,3941050.65
2024,天猫旗舰店,DX 天猫旗舰店,71,2795275.78
2025,天猫旗舰店,DX 天猫旗舰店,62,13116506.96
2024,天猫旗舰店,SP 天猫旗舰店,48,969681.43
2025,天猫旗舰店,SP 天猫旗舰店,49,525699.37
2024,天猫旗舰店,ML 淘宝奥莱 FO,50,3546735.39
2025,天猫旗舰店,ML 淘宝奥莱 FO,54,1647802.18
2024,京东自营,MM 京东旗舰店,40,10717409.01
2025,京东自营,MM 京东旗舰店,45,24388913.95
2024,京东自营,MM 京东服饰,39,3367970.58
2025,京东自营,MM 京东服饰,43,9134401.61
2024,京东自营,MK 京东旗舰店,34,1069969.79
2025,京东自营,MK 京东旗舰店,40,1700579.71
2025,京东自营,DX 京东旗舰店,57,1165631.82
2024,抖音电商,ML 抖音鞋服旗舰店,49,21118781.14
2025,抖音电商,ML 抖音鞋服旗舰店,59,62830045.69
2024,抖音电商,ML 抖音服装旗舰店,63,4933880
2025,抖音电商,ML 抖音服装旗舰店,60,22942803.32
2025,抖音电商,MK 抖音儿童旗舰店,64,1776510.38
2025,抖音电商,DX 抖音旗舰店,58,1129833.2
2024,微信商城,ML 微商城,23,20508260.5
2025,微信商城,ML 微商城,19,15854999.95
2024,唯品会,VIPMLB,56,58539595.54
2025,唯品会,VIPMLB,59,56660781.35
2024,唯品会,VIPMLBkids,50,6372045.11
2025,唯品会,VIPMLBkids,51,7743481.69
2025,唯品会,VIPSP,63,298195.37
2025,唯品会,VIPDV,65,328146.71